time,Year,Subregion,n,nCheck,modMedian,modMean,modci90lo,modci90up,rawMean,text
-11,2005,4,4000,4000,471.0902231833155,572.8196896664044,162.98805762958082,1316.7441331674881,6.1518163609658245,471.1 (163 to 1316.7)
-11,2005,6,4000,4000,471.473233903557,582.4376152997705,163.2580219865061,1338.4873326246513,6.158849487719329,471.5 (163.3 to 1338.5)
-11,2005,7,4000,4000,322.24516485688514,390.18858118279456,107.29759249847454,907.8941999695317,5.761303353489632,322.2 (107.3 to 907.9)
-10,2006,4,4000,4000,471.0334878973129,572.3780280353886,166.49840885448188,1289.6818095539966,6.151659123518977,471 (166.5 to 1289.7)
-10,2006,7,4000,4000,332.095490647023,412.43398982160875,112.38213283904747,977.5225597219033,5.806888509381911,332.1 (112.4 to 977.5)
-9,2007,4,4000,4000,473.6569267508802,580.2124775412179,172.77240299459618,1345.4344588900435,6.169315149959209,473.7 (172.8 to 1345.4)
-9,2007,5,4000,4000,732.7343063625249,912.4451848044322,239.11669731676207,2120.3591799969445,6.594531077688124,732.7 (239.1 to 2120.4)
-9,2007,6,4000,4000,505.1687698471879,622.8240026400276,169.33430195295438,1478.8105642619691,6.2192274612512515,505.2 (169.3 to 1478.8)
-9,2007,7,4000,4000,347.2378415478938,429.44240460698785,124.0248976182256,990.107849036782,5.859534907000925,347.2 (124 to 990.1)
-8,2008,4,4000,4000,484.9882768082589,593.7495617159354,175.16998186614094,1357.8841602576306,6.189751305016732,485 (175.2 to 1357.9)
-5,2011,4,4000,4000,507.51760443048454,612.1162800167663,180.58276328213404,1403.3272176364248,6.226376663201235,507.5 (180.6 to 1403.3)
-4,2012,4,4000,4000,505.5488522351503,608.9866572579375,189.3201749767056,1372.8706001596977,6.231361103233997,505.5 (189.3 to 1372.9)
-4,2012,6,4000,4000,568.2507503677937,701.3619225845605,199.3730147117461,1633.5656270458517,6.348006872613118,568.3 (199.4 to 1633.6)
-4,2012,7,4000,4000,426.22188912393784,524.001403632467,155.06199400016973,1219.912681480207,6.061393072395202,426.2 (155.1 to 1219.9)
-3,2013,4,4000,4000,520.4690772453388,626.5208049560855,183.48561895432908,1466.7189627455693,6.248026282039041,520.5 (183.5 to 1466.7)
-3,2013,7,4000,4000,440.81759307205834,529.0341580445555,154.6554712384977,1183.5980499422044,6.083212613888799,440.8 (154.7 to 1183.6)
-2,2014,4,4000,4000,519.1783598381362,627.3222045596598,186.9184791142263,1396.087323308044,6.252785985507966,519.2 (186.9 to 1396.1)
-1,2015,1,4000,4000,421.4327572865319,550.5076604071419,132.7570424901246,1401.8340398494875,6.0539201325722765,421.4 (132.8 to 1401.8)
-1,2015,2,4000,4000,415.4852180226072,522.9729202887321,129.64108443321658,1270.6368734939815,6.025332797531574,415.5 (129.6 to 1270.6)
-1,2015,3,4000,4000,521.606004136426,646.772005010698,181.42613125522539,1524.2406229019748,6.263578995214101,521.6 (181.4 to 1524.2)
0,2016,1,4000,4000,457.5592109567102,568.9015863243887,151.17121664983208,1344.4370110166283,6.1216782897199025,457.6 (151.2 to 1344.4)
0,2016,2,4000,4000,409.08270124071635,522.0749528737148,132.18138657114488,1299.6736023111216,6.02377353033509,409.1 (132.2 to 1299.7)
0,2016,3,4000,4000,595.3523305433455,721.3709620467412,217.2033249930998,1657.2865983158094,6.3903972055140885,595.4 (217.2 to 1657.3)
0,2016,4,4000,4000,549.5978087438122,650.3619929391267,196.58610565809246,1450.0051748793246,6.292061588807319,549.6 (196.6 to 1450)
1,2017,1,4000,4000,491.19447617835,617.3367849884768,166.2326686843644,1538.0386056961577,6.1976327629294925,491.2 (166.2 to 1538)
1,2017,2,4000,4000,423.5060950267973,530.7832487663574,139.46476600201117,1296.3676532414481,6.043380991132667,423.5 (139.5 to 1296.4)
1,2017,3,4000,4000,688.7615254904509,834.9920042200604,239.29443882734495,1906.6663787711236,6.529391414918076,688.8 (239.3 to 1906.7)
1,2017,4,4000,4000,546.0975664882646,665.0919182869645,196.63490836083227,1530.5333665999042,6.30294353433355,546.1 (196.6 to 1530.5)
1,2017,5,4000,4000,682.8587518001032,845.3319491393048,241.64045311193863,2001.6665704419604,6.529114129020528,682.9 (241.6 to 2001.7)
1,2017,6,4000,4000,648.8661358697818,817.2867427746249,219.8168098096049,1950.4307773411372,6.479301522790575,648.9 (219.8 to 1950.4)
1,2017,7,4000,4000,523.0055359864698,634.2121430668298,185.04520973445295,1457.8806827837334,6.257547454574965,523 (185 to 1457.9)
2,2018,1,4000,4000,525.1839166115554,667.8142045183215,165.45114234201105,1653.7999984286905,6.266132614861145,525.2 (165.5 to 1653.8)
2,2018,2,4000,4000,431.8914764296239,556.8946300791248,133.38409728257784,1391.358373662501,6.073371938346075,431.9 (133.4 to 1391.4)
2,2018,3,4000,4000,765.2187762853381,954.6468891019063,265.3741367386478,2251.7517502607325,6.649950347447173,765.2 (265.4 to 2251.8)
2,2018,4,4000,4000,561.2321062716712,675.2443605266063,197.19008928812147,1541.4616226499504,6.326015086467163,561.2 (197.2 to 1541.5)
2,2018,5,4000,4000,672.6960485306244,842.7811089863958,236.6393234231208,2012.3485466690938,6.523210613410942,672.7 (236.6 to 2012.3)
2,2018,6,4000,4000,659.2113513483087,823.7923973093577,223.48146507180346,1936.1298982717146,6.495158663604617,659.2 (223.5 to 1936.1)
2,2018,7,4000,4000,533.7916856569644,658.1068359673732,193.36767481187465,1531.8951889347677,6.288364006886785,533.8 (193.4 to 1531.9)
