time,Year,Subregion,tax,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
2,2018,1,Fish,6000,6000,7,7.035833333333334,2,13,7 (2 to 13)
2,2018,1,Invert,6000,6000,4,4.145666666666667,1,9,4 (1 to 9)
2,2018,2,Fish,6000,6000,15,15.893333333333333,7,28,15 (7 to 28)
2,2018,2,Invert,6000,6000,8,8.7195,3,17,8 (3 to 17)
2,2018,3,Fish,6000,6000,16,16.494,8,27,16 (8 to 27)
2,2018,3,Invert,6000,6000,8,8.6115,3,15,8 (3 to 15)
2,2018,4,Fish,6000,6000,11,11.797166666666667,5,19,11 (5 to 19)
2,2018,4,Invert,6000,6000,5,4.892666666666667,1,9,5 (1 to 9)
2,2018,5,Fish,6000,6000,9,9.413,4,17,9 (4 to 17)
2,2018,5,Invert,6000,6000,9,9.473166666666666,4,17,9 (4 to 17)
2,2018,6,Fish,6000,6000,8,8.848833333333333,3,16,8 (3 to 16)
2,2018,6,Invert,6000,6000,10,10.333833333333333,4,18,10 (4 to 18)
2,2018,7,Fish,6000,6000,7,6.861,2,13,7 (2 to 13)
2,2018,7,Invert,6000,6000,9,9.016333333333334,4,16,9 (4 to 16)
