RES_NUM,FieldSeason,SZFullname,InOutSZ,mean,sd,n,se,ymax,ymin
2,2014_15,Isles of St Francis,I,0.3888888888888889,0.6076849889141854,18,0.1432327254954975,0.5321216143843864,0.24565616339339139
2,2014_15,Isles of St Francis,O,0.08333333333333333,0.28867513459481287,12,0.08333333333333333,0.16666666666666666,0
4,2014_15,Pearson Isles,I,1.25,0.4629100498862757,8,0.16366341767699427,1.4136634176769942,1.0863365823230058
9,2016_17,Pt Gibbon,I,0,0,12,0,0,0
9,2016_17,Pt Gibbon,O,0,0,12,0,0,0
10,2016_17,Cuttlefish Coast,I,0,0,8,0,0,0
10,2016_17,Cuttlefish Coast,O,0,0,8,0,0,0
10,2016_17,Fairway Bank,I,0,0,8,0,0,0
10,2016_17,Fairway Bank,O,0,0,8,0,0,0
11,2016_17,Cape Elizabeth,I,0,0,12,0,0,0
11,2016_17,Cape Elizabeth,O,0,0,12,0,0,0
12,2015_16,Chinamans Hat,I,0.25,0.45226701686664544,12,0.1305582419667734,0.3805582419667734,0.1194417580332266
12,2015_16,Chinamans Hat,O,0.3333333333333333,0.6513389472789295,12,0.1880253582725887,0.5213586916059221,0.1453079750607446
15,2015_16,Aldinga Reef,I,0.3333333333333333,0.6513389472789295,12,0.1880253582725887,0.5213586916059221,0.1453079750607446
15,2015_16,Aldinga Reef,O,0,0,11,0,0,0
15,2015_16,Bay of Shoals,I,0,0,12,0,0,0
15,2015_16,Bay of Shoals,O,0,0,23,0,0,0
15,2015_16,Carrickalinga Cliffs,I,0,0,11,0,0,0
15,2015_16,Carrickalinga Cliffs,O,0,0,8,0,0,0
15,2015_16,Rapid Head,I,0,0,12,0,0,0
15,2015_16,Rapid Head,O,0.08333333333333333,0.28867513459481287,12,0.08333333333333333,0.16666666666666666,0
15,2015_16,Sponge Gardens,I,1.7,1.4181364924121764,10,0.44845413490245695,2.148454134902457,1.251545865097543
15,2015_16,Sponge Gardens,O,1.1666666666666667,1.0298573010888745,12,0.2972941950052816,1.4639608616719484,0.8693724716613851
15,2015_16,The Pages,I,0.3333333333333333,0.49236596391733095,12,0.1421338109037403,0.4754671442370736,0.191199522429593
15,2015_16,The Pages,O,0.16666666666666666,0.3892494720807613,12,0.11236664374387365,0.2790333104105403,0.05430002292279301
15,2016_17,Aldinga Reef,O,0,0,4,0,0,0
15,2016_17,Bay of Shoals,I,0,0,12,0,0,0
15,2016_17,Bay of Shoals,O,0,0,12,0,0,0
15,2016_17,Carrickalinga Cliffs,I,0,0,12,0,0,0
15,2016_17,Carrickalinga Cliffs,O,0,0,8,0,0,0
15,2016_17,Rapid Head,I,0,0,12,0,0,0
15,2016_17,Rapid Head,O,0,0,12,0,0,0
15,2016_17,Sponge Gardens,I,0.8181818181818182,0.6030226891555273,11,0.18181818181818182,1,0.6363636363636365
15,2016_17,Sponge Gardens,O,0.5833333333333334,0.90033663737852,12,0.2599047999758855,0.8432381333092189,0.32342853335744787
16,2014_15,Cape du Couedic,I,0.25,0.45226701686664544,12,0.1305582419667734,0.3805582419667734,0.1194417580332266
